2023-10-26 09:45:33,605 - logs - INFO - 【Channel】: Built rayleigh channel, SNR 8 dB.
2023-10-26 09:45:34,907 - logs - INFO - Dataset Load!!!, train_num: 577, valid_num:60
2023-10-26 09:45:34,908 - logs - INFO - *****************   start train   *****************
2023-10-26 09:46:18,203 - logs - INFO - 【Channel】: Built rayleigh channel, SNR 8 dB.
2023-10-26 09:46:19,633 - logs - INFO - Dataset Load!!!, train_num: 577, valid_num:60
2023-10-26 09:46:19,634 - logs - INFO - *****************   start train   *****************
2023-10-26 09:48:19,175 - logs - INFO - train epoch 1/450, train_loss = 0.0004418467, time = 119.5390610695
2023-10-26 09:48:23,406 - logs - INFO - valid epoch 1/450, valid_loss = 0.0001801075, time = 4.2297561169
2023-10-26 09:48:23,419 - logs - INFO - Comparsion, model saved, epoch:1
2023-10-26 09:50:22,643 - logs - INFO - train epoch 2/450, train_loss = 0.0001869482, time = 119.2218701839
2023-10-26 09:50:26,761 - logs - INFO - valid epoch 2/450, valid_loss = 0.0001764141, time = 4.1169490814
2023-10-26 09:50:26,779 - logs - INFO - Comparsion, model saved, epoch:2
2023-10-26 09:52:26,334 - logs - INFO - train epoch 3/450, train_loss = 0.0001849409, time = 119.5529754162
2023-10-26 09:52:30,436 - logs - INFO - valid epoch 3/450, valid_loss = 0.0002891255, time = 4.1003553867
2023-10-26 09:54:28,872 - logs - INFO - train epoch 4/450, train_loss = 0.0001869808, time = 118.4343621731
2023-10-26 09:54:32,888 - logs - INFO - valid epoch 4/450, valid_loss = 0.0001795965, time = 4.0136148930
2023-10-26 09:56:31,940 - logs - INFO - train epoch 5/450, train_loss = 0.0002506292, time = 119.0499644279
2023-10-26 09:56:36,093 - logs - INFO - valid epoch 5/450, valid_loss = 0.0001764169, time = 4.1505620480
2023-10-26 09:58:34,991 - logs - INFO - train epoch 6/450, train_loss = 0.0001888639, time = 118.8964257240
2023-10-26 09:58:39,091 - logs - INFO - valid epoch 6/450, valid_loss = 0.0001772005, time = 4.0977389812
2023-10-26 10:00:36,805 - logs - INFO - train epoch 7/450, train_loss = 0.0001848149, time = 117.7125532627
2023-10-26 10:00:40,797 - logs - INFO - valid epoch 7/450, valid_loss = 0.0001759051, time = 3.9896981716
2023-10-26 10:00:40,811 - logs - INFO - Comparsion, model saved, epoch:7
2023-10-26 10:02:40,217 - logs - INFO - train epoch 8/450, train_loss = 0.0001842453, time = 119.4036998749
2023-10-26 10:02:44,206 - logs - INFO - valid epoch 8/450, valid_loss = 0.0001763765, time = 3.9868814945
2023-10-26 10:04:43,581 - logs - INFO - train epoch 9/450, train_loss = 0.0001840014, time = 119.3735022545
2023-10-26 10:04:47,617 - logs - INFO - valid epoch 9/450, valid_loss = 0.0001758538, time = 4.0344500542
2023-10-26 10:04:47,658 - logs - INFO - Comparsion, model saved, epoch:9
2023-10-26 10:06:46,768 - logs - INFO - train epoch 10/450, train_loss = 0.0002033252, time = 119.1085364819
